paese,isrc,uri,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo
Arabia_Saudita,GBKPL2205058,spotify:track:3qhlB30KknSejmIvZZLjOD,"['pov: indie', 'psychedelic pop']",0.689,0.454,0.0584,0.0351,0.00259,0.912,159.982
Arabia_Saudita,QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,[],0.599,0.946,0.0447,0.000938,0.0106,0.747,151.647
Arabia_Saudita,USUG12401028,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,['pop'],0.675,0.397,0.0245,0.499,5.85e-06,0.319,95.988
Arabia_Saudita,USA2P2251865,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,['k-pop'],0.629,0.733,0.0419,0.0025,0,0.362,120.001
Arabia_Saudita,USUM72403305,spotify:track:2qSkIjg1o9h3YT9RAgYN75,['pop'],0.701,0.771,0.0293,0.133,1.17e-05,0.661,103.982
Arabia_Saudita,USUM72317276,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,['pop'],0.645,0.663,0.0447,0.0657,3.18e-05,0.287,115.83
Arabia_Saudita,USA2P2339030,spotify:track:2N0SPREDYqILVEFSsWF5N5,"['j-division', 'korean ost']",0.633,0.607,0.0532,0.183,1.38e-06,0.363,74.029
Arabia_Saudita,USUG12303881,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.522,0.641,0.0318,0.0545,0,0.202,87.51
Arabia_Saudita,QZL382406049,spotify:track:6XjDF6nds4DE2BBbagZol6,['reggaeton chileno'],0.791,0.499,0.0509,0.446,2.41e-05,0.669,99.986
Arabia_Saudita,USA2P2330093,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,['k-pop'],0.79,0.831,0.044,0.312,0,0.872,124.987
Arabia_Saudita,USSM12305010,spotify:track:42VsgItocQwOQC3XWZ8JNA,"['hip hop', 'rap', 'slap house']",0.569,0.882,0.06,0.0316,0,0.201,148.038
Arabia_Saudita,USA2P2413259,spotify:track:1aKvZDoLGkNMxoRYgkckZG,[],0.797,0.668,0.0687,0.257,0,0.69,131.067
Arabia_Saudita,USA2P2411822,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,"['j-division', 'korean ost']",0.466,0.601,0.053,0.0315,0,0.627,53.376
Arabia_Saudita,USJ5G2335007,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"['brooklyn indie', 'pov: indie']",0.504,0.308,0.0321,0.868,0.135,0.121,113.95
Arabia_Saudita,USRC12301932,spotify:track:3rUGC1vUpkDG9CZFHMur1t,['pop'],0.75,0.733,0.0319,0.256,0,0.844,111.018
Arabia_Saudita,USUG12401032,spotify:track:3Vevii7qKqrmW8CcyzBHDl,['pop'],0.472,0.536,0.263,0.734,0.00699,0.29,160.058
Arabia_Saudita,USA2P2402103,spotify:track:3lwK3WyKAI5bUuGY1OgGbZ,['k-pop girl group'],0.799,0.675,0.0465,0.115,0,0.594,113.076
Arabia_Saudita,USRC12400507,spotify:track:3QJsSWa0Xo8MfaRn1gr4Be,"['dark r&b', 'hyperpop', 'sped up']",0.726,0.652,0.0779,0.00323,0.003,0.625,97.032
Arabia_Saudita,QM4TX2453776,spotify:track:67smGwuPEtA6GAfeweAVNO,['krushfunk'],0.681,0.773,0.0345,0.0863,0.734,0.504,129.923
Arabia_Saudita,USUG12401040,spotify:track:4q5YezDOIPcoLr8R81x9qy,['pop'],0.7,0.763,0.0513,0.147,0,0.226,130.018
Arabia_Saudita,QZZ4J2400019,spotify:track:3lMzT16MjAKKXF7pSZn13B,['jersey club'],0.866,0.741,0.245,0.0933,0,0.614,135.07
Arabia_Saudita,USUG12401031,spotify:track:2F3N9tdombb64aW6VtZOdo,['pop'],0.546,0.36,0.0774,0.554,0,0.181,159.755
Arabia_Saudita,IEACJ2300335,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,"['irish singer-songwriter', 'modern rock', 'pov: indie']",0.741,0.62,0.0412,0.0295,0.000809,0.934,117.038
Arabia_Saudita,USSM12402041,spotify:track:2tudvzsrR56uom6smgOcSf,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.814,0.676,0.231,0.00709,1.28e-05,0.312,162.012
Arabia_Saudita,GBCEL1300373,spotify:track:5XeFesFbtLpXzIVDNQP22n,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.464,0.417,0.0256,0.136,0.022,0.479,67.528
Argentina,BK4DA2410627,spotify:track:3GD6eImRvT0zgr8cQnokUq,"['argentine hip hop', 'trap argentino', 'trap triste']",0.731,2.01e-05,0.765,0.764,0,0.262,130.972
Argentina,QZL382406049,spotify:track:6XjDF6nds4DE2BBbagZol6,['reggaeton chileno'],0.791,0.499,0.0509,0.446,2.41e-05,0.669,99.986
Argentina,AR5UH2302301,spotify:track:5rQSQlZXXjMcevPGoAfE1z,['pop argentino'],0.693,0.641,0.0359,0.368,0,0.514,92.01
Argentina,USWL12400226,spotify:track:4wS0TnQzVkY9ML1BPKpOk1,"['trap argentino', 'trap latino', 'urbano latino']",0.646,0.907,0.0593,0.422,0,0.816,168.004
Argentina,QM4TW2445323,spotify:track:0GVPemmAwkXhFlYimhdDr3,[],0.676,0.573,0.338,0.0185,0,0.369,98.325
Argentina,AR5UH2301964,spotify:track:0mJRX0WnqWlu8Boe7gpQ1P,['pop argentino'],0.857,0.708,0.0402,0.352,0,0.914,98.009
Argentina,CLPP22300118,spotify:track:7JKptWv4YXmievid0HajID,"['trap argentino', 'trap triste']",0.482,0.792,0.0859,0.182,0,0.572,154.932
Argentina,USUM72318216,spotify:track:7bywjHOc0wSjGGbj04XbVi,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.774,0.86,0.13,0.131,0,0.446,100.019
Argentina,UYS642300003,spotify:track:1kqH58eGh2ZTOHwqBIB2tM,['rap uruguayo'],0.76,0.703,0.0631,0.313,0,0.739,96.033
Argentina,BK4DA2407011,spotify:track:4YntVuBqggRsASIbBoWT3F,['cumbia pop'],0.555,0.555,0.0726,0.2,0,0.774,99.809
Argentina,UYB282413003,spotify:track:2eV3pmYGM1bm1vWHc0t8WF,[],0.897,0.624,0.107,0.222,0,0.821,102.012
Argentina,USHR12347039,spotify:track:490e7PHsxkzMot8qCO36Bt,"['latin pop', 'latin viral pop', 'pop argentino']",0.57,0.271,0.0354,0.689,0,0.326,143.666
Argentina,UYB282384010,spotify:track:35ttE4t8lQZA2vuCYDg4G7,"['trap argentino', 'trap latino', 'urbano latino']",0.364,0.572,0.0341,0.758,0,0.514,80.363
Argentina,QZXD92300025,spotify:track:7s4emXHJwAuo5VvGBXmnBL,"['trap latino', 'urbano latino']",0.794,0.729,0.111,0.181,0,0.54,92.967
Argentina,ARACN2400001,spotify:track:1905loqmX0pSFPMbA9rc1f,[],0.929,0.655,0.251,0.238,0,0.635,129.971
Argentina,CLPP22300109,spotify:track:1TyBUtMxdmRfXhW3MmbxtQ,"['trap argentino', 'trap triste']",0.731,0.855,0.0513,0.0935,0,0.966,148.042
Argentina,USSD12300584,spotify:track:6Es8Sk3xe1HiJ2MXCfHHwR,['pop argentino'],0.833,0.809,0.0381,0.0836,0,0.905,128.055
Argentina,CLAA22300335,spotify:track:5wcghdKONQcc5TKx9jCcns,"['cumbia 420', 'cumbia pop']",0.814,0.63,0.0881,0.0805,0,0.702,89.974
Argentina,USSD12300585,spotify:track:5f4mOETLngamMDTJnbF9s7,['pop argentino'],0.858,0.677,0.118,0.106,0,0.584,100.046
Argentina,ARP7V2300043,spotify:track:2xbH0CuDbid800YW5nMPzR,"['argentine hip hop', 'rap conciencia', 'rap underground argentino']",0.729,0.807,0.0307,0.111,0,0.654,94.021
Argentina,QZNJZ2390819,spotify:track:4jn3R3KF5hx2fCiXlj89yE,"['argentine hip hop', 'trap argentino']",0.767,0.607,0.0516,0.0927,0,0.38,104.98
Argentina,USWL12400891,spotify:track:43PiEypaceH339CSNiggyj,"['reggaeton flow', 'trap latino', 'urbano latino']",0.703,0.617,0.151,0.215,6.11e-06,0.486,173.97
Argentina,USHR12447553,spotify:track:3eNenN5eoBwMRNPkmoyk81,"['latin pop', 'latin viral pop', 'pop argentino']",0.643,0.787,0.027,0.104,0,0.659,111.933
Argentina,ARF112300250,spotify:track:08809bzGs69SfjOFdeyssu,['gaming dubstep'],0.753,0.747,0.298,0.0718,0,0.934,179.993
Argentina,USWL12400693,spotify:track:7irTyPzSyqSbeUXbYsTR5j,[],0.756,0.545,0.153,0.102,3.38e-06,0.543,82.104
Australia,USUG12401028,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,['pop'],0.675,0.397,0.0245,0.499,5.85e-06,0.319,95.988
Australia,IEACJ2300335,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,"['irish singer-songwriter', 'modern rock', 'pov: indie']",0.741,0.62,0.0412,0.0295,0.000809,0.934,117.038
Australia,USUG12401031,spotify:track:2F3N9tdombb64aW6VtZOdo,['pop'],0.546,0.36,0.0774,0.554,0,0.181,159.755
Australia,QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,[],0.599,0.946,0.0447,0.000938,0.0106,0.747,151.647
Australia,USUG12401040,spotify:track:4q5YezDOIPcoLr8R81x9qy,['pop'],0.7,0.763,0.0513,0.147,0,0.226,130.018
Australia,USUM72403305,spotify:track:2qSkIjg1o9h3YT9RAgYN75,['pop'],0.701,0.771,0.0293,0.133,1.17e-05,0.661,103.982
Australia,USWB12307016,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,['singer-songwriter pop'],0.472,0.471,0.0603,0.151,0,0.219,105.029
Australia,USUG12401032,spotify:track:3Vevii7qKqrmW8CcyzBHDl,['pop'],0.472,0.536,0.263,0.734,0.00699,0.29,160.058
Australia,USUG12401029,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,['pop'],0.595,0.421,0.0261,0.0518,1.56e-06,0.261,110.305
Australia,USUG12401030,spotify:track:2XXwLdtuAcE0HSCu61ijAb,['pop'],0.599,0.585,0.0292,0.145,0,0.48,97.056
Australia,USUG12401037,spotify:track:36t6frENUtCYKuZus6aYDO,['pop'],0.592,0.37,0.0495,0.307,0,0.249,119.87
Australia,USUG12401033,spotify:track:5og4Qzt92jJzVDkOtSEilb,['pop'],0.414,0.716,0.134,0.388,0,0.448,79.274
Australia,USUG12401035,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,['pop'],0.524,0.568,0.143,0.204,0,0.42,150.044
Australia,USUG12401036,spotify:track:0W0iAC1VGlB82PI6elxFYf,['pop'],0.625,0.421,0.0265,0.614,0,0.435,94.977
Australia,GBKPL2205058,spotify:track:3qhlB30KknSejmIvZZLjOD,"['pov: indie', 'psychedelic pop']",0.689,0.454,0.0584,0.0351,0.00259,0.912,159.982
Australia,USUG12401041,spotify:track:2v1ivOOsgn64g5OywuH55L,['pop'],0.476,0.411,0.0639,0.524,0,0.297,142.252
Australia,USUM72212470,spotify:track:0mflMxspEfB0VbI1kyLiAv,['pov: indie'],0.662,0.488,0.0682,0.782,0,0.817,117.913
Australia,USUYG1541249,spotify:track:2FQrifJ1N335Ljm3TjTVVf,['pop rap'],0.741,0.719,0.0302,0.113,0,0.657,81.018
Australia,USUG12401039,spotify:track:6RSG1dKPV5gEvILwJb4QtS,['pop'],0.613,0.262,0.0385,0.866,0,0.197,97.92
Australia,USUG12401034,spotify:track:3fO566xJgwxIa3qGCGBvIC,['pop'],0.303,0.489,0.0443,0.621,0,0.325,77.403
Australia,USWB12302315,spotify:track:17phhZDn6oGtzMe56NuWvj,[],0.561,0.604,0.0337,0.199,1.9e-05,0.242,159.92
Australia,USUM72317276,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,['pop'],0.645,0.663,0.0447,0.0657,3.18e-05,0.287,115.83
Australia,USUG12401042,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,['pop'],0.639,0.439,0.0288,0.437,0,0.376,100.083
Australia,QZZ4J2400019,spotify:track:3lMzT16MjAKKXF7pSZn13B,['jersey club'],0.866,0.741,0.245,0.0933,0,0.614,135.07
Australia,USUG12401038,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,['pop'],0.658,0.255,0.0471,0.761,0,0.328,106.935
Austria,QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,[],0.599,0.946,0.0447,0.000938,0.0106,0.747,151.647
Austria,DEE862400427,spotify:track:48lxT5qJF0yYyf2z4wB4xW,[],0.788,0.936,0.301,0.0229,1.3e-06,0.844,151.019
Austria,USUG12401028,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,['pop'],0.675,0.397,0.0245,0.499,5.85e-06,0.319,95.988
Austria,IEACJ2300335,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,"['irish singer-songwriter', 'modern rock', 'pov: indie']",0.741,0.62,0.0412,0.0295,0.000809,0.934,117.038
Austria,QZL382406049,spotify:track:6XjDF6nds4DE2BBbagZol6,['reggaeton chileno'],0.791,0.499,0.0509,0.446,2.41e-05,0.669,99.986
Austria,QM24S2400638,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,['singer-songwriter pop'],0.646,0.668,0.0282,0.491,0,0.64,90.969
Austria,USWB12307016,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,['singer-songwriter pop'],0.472,0.471,0.0603,0.151,0,0.219,105.029
Austria,FR2X42437864,spotify:track:3Ei9luHsYy0dpdrhjF9Z3r,"['frauenrap', 'german hip hop']",0.656,0.472,0.0722,0.278,0,0.358,116.012
Austria,GBKPL2205058,spotify:track:3qhlB30KknSejmIvZZLjOD,"['pov: indie', 'psychedelic pop']",0.689,0.454,0.0584,0.0351,0.00259,0.912,159.982
Austria,USUG12401040,spotify:track:4q5YezDOIPcoLr8R81x9qy,['pop'],0.7,0.763,0.0513,0.147,0,0.226,130.018
Austria,USUG12401032,spotify:track:3Vevii7qKqrmW8CcyzBHDl,['pop'],0.472,0.536,0.263,0.734,0.00699,0.29,160.058
Austria,USUG12401031,spotify:track:2F3N9tdombb64aW6VtZOdo,['pop'],0.546,0.36,0.0774,0.554,0,0.181,159.755
Austria,NLZ542301810,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,[],0.875,0.518,0.0551,0.0638,0.00995,0.37,126.089
Austria,USWB12302315,spotify:track:17phhZDn6oGtzMe56NuWvj,[],0.561,0.604,0.0337,0.199,1.9e-05,0.242,159.92
Austria,USUG12401029,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,['pop'],0.595,0.421,0.0261,0.0518,1.56e-06,0.261,110.305
Austria,USUG12401030,spotify:track:2XXwLdtuAcE0HSCu61ijAb,['pop'],0.599,0.585,0.0292,0.145,0,0.48,97.056
Austria,QZTB92360479,spotify:track:2uqYupMHANxnwgeiXTZXzd,['alt z'],0.756,0.672,0.0522,0.464,3.37e-06,0.739,114.935
Austria,GBARL0400707,spotify:track:3U5JVgI2x4rDyHGObzJfNf,"['dance pop', 'pop', 'post-teen pop']",0.706,0.8,0.0399,0.00584,0,0.629,100.011
Austria,USUG12401037,spotify:track:36t6frENUtCYKuZus6aYDO,['pop'],0.592,0.37,0.0495,0.307,0,0.249,119.87
Austria,USSM12401302,spotify:track:7wLShogStyDeZvL0a6daN5,"['pop', 'r&b']",0.727,0.711,0.078,0.582,0,0.375,110.012
Austria,USUG12401033,spotify:track:5og4Qzt92jJzVDkOtSEilb,['pop'],0.414,0.716,0.134,0.388,0,0.448,79.274
Austria,USUG12401035,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,['pop'],0.524,0.568,0.143,0.204,0,0.42,150.044
Austria,USSM12402033,spotify:track:28drn6tQo95MRvO0jQEo5C,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.64,0.552,0.129,0.0215,0,0.112,144.941
Austria,USUM72403305,spotify:track:2qSkIjg1o9h3YT9RAgYN75,['pop'],0.701,0.771,0.0293,0.133,1.17e-05,0.661,103.982
Austria,USRC12301932,spotify:track:3rUGC1vUpkDG9CZFHMur1t,['pop'],0.75,0.733,0.0319,0.256,0,0.844,111.018
Belgio,QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,[],0.599,0.946,0.0447,0.000938,0.0106,0.747,151.647
Belgio,USWB12307016,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,['singer-songwriter pop'],0.472,0.471,0.0603,0.151,0,0.219,105.029
